��Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Relentless,Blackmill,,Reach For Glory,,Dance & DJ,6164589,193,1,1,4,11,2011,11/26/13, 7:57 AM,11/26/13, 8:25 AM,250,44100,,MPEG audio file,,Amazon.com Song ID: 221299315,8,12/10/13, 1:29 PM,1,12/4/13, 3:31 PM,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Blackmill:Reach For Glory:04 Relentless.mp3
Retro City (Bronze Whale Remix),Bronze Whale,,YEAR ONE EP,,,10221288,314,,,1,,2013,11/26/13, 7:58 AM,11/26/13, 8:25 AM,255,44100,,MPEG audio file,,Visit http://music.gravitasrecordings.com,8,12/10/13, 2:07 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Bronze Whale:YEAR ONE EP:01 Retro City (Bronze Whale Remix).mp3
Rise & Fall,Gemini,,Blue EP,,Dubstep/Grime,10300551,320,,,4,,,11/26/13, 8:04 AM,11/26/13, 8:25 AM,256,44100,,MPEG audio file,,,6,12/10/13, 12:47 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Gemini:Blue EP:04 Rise & Fall.mp3
Rise & Fall (Krewella Remix),Adventure Club,,Rise & Fall (Krewella Remix),,Dubstep,10469163,261,,,1,,2012,11/26/13, 7:56 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,7,12/10/13, 12:06 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Adventure Club:Rise & Fall (Krewella Remix):01 Rise & Fall (Krewella Remix).mp3
Robots,Gemini,,Mercury EP,,Dubstep,9971785,249,,,1,5,2012,11/26/13, 8:04 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,8,12/10/13, 1:57 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Gemini:Mercury EP:01 Robots.mp3
Set Me On Fire,Pendulum,,Immersion,,Electronic,8799279,303,1,,4,15,2010,11/26/13, 8:08 AM,11/26/13, 8:25 AM,232,44100,,MPEG audio file,,,7,12/10/13, 12:20 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Pendulum:Immersion:1-04 Set Me On Fire.mp3
ShutEmDown,Celldweller,,Soundtrack For The Voices In My Head Vol. 02,,Rock,4716692,142,1,1,4,19,2012,11/26/13, 7:58 AM,11/26/13, 8:25 AM,265,44100,,MPEG audio file,,,7,12/10/13, 11:49 AM,1,12/10/13, 10:35 AM,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Celldweller:Soundtrack For The Voices In My Head Vol. 02:04 ShutEmDown.mp3
Sleepless (Xilent Remix),Excision, Feat Savvy, Xilent,,UKF Dubstep 2012,,Dubstep,9625287,308,,,18,,2012,11/26/13, 8:02 AM,11/26/13, 8:25 AM,246,44100,,MPEG audio file,,,5,12/10/13, 2:17 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Excision, Feat Savvy, Xilent:UKF Dubstep 2012:18 Sleepless (Xilent Remix).mp3
Spaceman,Hardwell,,Spaceman,,Progressive House,12538635,379,,,1,1,2012,11/26/13, 8:06 AM,11/26/13, 8:25 AM,264,44100,,MPEG audio file,,,5,12/10/13, 11:32 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Hardwell:Spaceman:01 Spaceman.mp3
Spitfire (Original Mix),Porter Robinson,,Spitfire,,Dubstep,12218429,404,,,1,11,2011,11/26/13, 8:08 AM,11/26/13, 8:25 AM,231,44100,,MPEG audio file,,,6,12/10/13, 1:16 PM,1,12/5/13, 2:48 PM,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Porter Robinson:Spitfire:01 Spitfire (Original Mix).mp3
Strange Behaviour feat. Tasha Baxter,Feed Me,,To The Stars,,,9185109,294,,,2,4,2011,11/26/13, 8:03 AM,11/26/13, 8:25 AM,249,44100,,MPEG audio file,,,9,12/10/13, 2:25 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Feed Me:To The Stars:02 Strange Behaviour feat. Tasha Baxter.mp3
Sunlight,Modestep,,Evolution Theory,,Dubstep,6922860,226,1,2,4,15,2013,11/26/13, 8:07 AM,11/26/13, 8:25 AM,244,44100,,MPEG audio file,,,7,12/10/13, 10:43 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Modestep:Evolution Theory:1-04 Sunlight.mp3
Sweet Nothing (feat. Florence Welch) (Diplo + Grandtheft Remix),Calvin Harris ,,Sweet Nothing (Diplo + Grandtheft Remix),,Electro,12356341,308,1,1,1,1,2012,11/26/13, 7:58 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,5,12/10/13, 2:02 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Calvin Harris:Sweet Nothing (Diplo + Grandtheft Remix):01 Sweet Nothing (feat. Florence Welch) (Diplo + Grandtheft Remix).mp3
Testarossa,PANTyRAiD,,Superior,,,6864757,243,,,4,,2011,11/26/13, 8:08 AM,11/26/13, 8:25 AM,225,44100,,MPEG audio file,,addictech.com,7,12/10/13, 12:55 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:PANTyRAiD:Superior:04 Testarossa.mp3
That Night (original mix),Soulskream,,life ep,,Bass,13157398,328,,,5,5,2013,11/26/13, 8:09 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,8,12/10/13, 12:33 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Soulskream:life ep:05 That Night (original mix).mp3
Timestretch,Bassnectar,,Timestretch [EP],,Dubstep,14536091,362,,,4,,2010,11/26/13, 7:57 AM,11/26/13, 8:25 AM,320,44100,255,MPEG audio file,,,6,12/10/13, 1:26 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Bassnectar:Timestretch [EP]:04 Timestretch.mp3
To The World (Original Mix),Gemini,,Fire Inside EP,,Dubstep,8716217,282,,,3,4,2012,11/26/13, 8:04 AM,11/26/13, 8:25 AM,246,44100,,MPEG audio file,,,5,12/10/13, 11:37 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Gemini:Fire Inside EP:03 To The World (Original Mix).mp3
Trippy,Antiserum & Mayhem,,Bangladesh / Trippy,,Bass,8875069,217,,,2,,2013,11/26/13, 7:56 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,7,12/10/13, 12:23 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Antiserum & Mayhem:Bangladesh _ Trippy:02 Trippy.mp3
Underwater (feat. Tina Malia),Bassnectar,,Wildstyle [EP],,Dubstep,15717805,391,,,5,,2010,11/26/13, 7:57 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,5,12/10/13, 11:23 AM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Bassnectar:Wildstyle [EP]:05 Underwater (feat. Tina Malia).mp3
We Are The Sun (Savoy Remix),Savoy & Heather Bright,,We Are The Sun,,Electronic,10309871,250,,,3,3,2012,11/26/13, 8:09 AM,11/26/13, 8:25 AM,320,44100,,MPEG audio file,,,7,12/10/13, 1:09 PM,,,,Macintosh HD:Users:jgoodwin:Music:iTunes:iTunes Media:Music:Savoy & Heather Bright:We Are The Sun:03 We Are The Sun (Savoy Remix).mp3

